Sunday,Buying Price,Pattern,MA,MP,TA,TP,WA,WP,RA,RP,FA,FP,SA,SP,Sold At
4/19/2020,109,Unknown,,,48,,33,50,,,133,168,141,46,FP
4/26/2020,95,Fluctuating,89,58,51,121,107,104,59,54,45,110,128,93,SA
5/3/2020,97,LargeSpike,83,80,75,72,69,64,60,122,178,322,144,120,FP
5/10/2020,94,SmallSpike,55,52,48,44,122,104,148,172,171,55,52,49,RP
5/17/2020,106,Fluctuating,107,137,82,75,143,147,100,,122,70,63,,
5/24/2020,93,SmallSpike,41,99,90,,181,,63,50,56,53,49,45,WA
5/31/2020,97,Fluctuating,114,121,65,58,113,,91,101,78,70,64,,
6/7/2020,107,SmallSpike,78,73,,104,139,149,158,151,94,88,83,80,RA
6/14/2020,102,Decreasing,90,,81,76,71,,62,57,52,47,43,39,
6/21/2020,92,Decreasing,80,76,73,70,67,64,59,55,51,47,43,38,
6/28/2020,104,Fluctuating,76,67,59,109,116,,99,136,73,65,,,
,,,,,,,,,,,,,,,
