Date,WeekDay,AM/PM,Price,Sell Count
4/21/20,T,AM,48,0
4/22/20,W,AM,33,0
4/22/20,W,PM,50,0
4/24/20,F,AM,133,0
4/24/20,F,PM,168,290
4/25/20,S,AM,141,0
4/25/20,S,PM,46,0
4/27/20,M,AM,89,0
4/27/20,M,PM,58,0
4/28/20,T,AM,51,0
4/28/20,T,PM,121,0
4/29/20,W,AM,107,0
4/29/20,W,PM,104,0
4/30/20,R,AM,59,0
4/30/20,R,PM,54,0
5/1/20,F,AM,45,0
5/1/20,F,PM,110,0
5/2/20,S,AM,128,290
5/2/20,S,PM,93,0
5/4/20,M,AM,83,0
5/4/20,M,PM,80,0
5/5/20,T,AM,75,0
5/5/20,T,PM,72,0
5/6/20,W,AM,69,0
5/6/20,W,PM,64,0
5/7/20,R,AM,60,0
5/7/20,R,PM,122,0
5/8/20,F,AM,178,0
5/8/20,F,PM,322,500
5/9/20,S,AM,144,0
5/9/20,S,PM,120,0
5/11/20,M,AM,55,0
5/11/20,M,PM,52,0
5/12/20,T,AM,48,0
5/12/20,T,PM,44,0
5/13/20,W,AM,122,0
5/13/20,W,PM,104,0
5/14/20,R,AM,148,0
5/14/20,R,PM,172,500
5/15/20,F,AM,171,0
5/15/20,F,PM,55,0
